date,title,address,url
"September 16, 2026",Rally's is Coming to North Las Vegas,"4360 W Craig Rd, North Las Vegas, NV 89032",https://whatnow.com/las-vegas/restaurants/rallys-is-coming-to-north-las-vegas/
"September 16, 2026",Acai Brasil to Open Within the Riverstone Shopping Center,"18721 University Blvd, Sugar Land, TX 77479",https://whatnow.com/houston/restaurants/acai-brasil-to-open-within-the-riverstone-shopping-center/
"September 16, 2026",Broncos Mexican Grill Working on Second Location,"277 S Mountain Ave, Upland, CA 91786",https://whatnow.com/los-angeles/restaurants/broncos-mexican-grill-working-on-second-location/
"September 16, 2026",Olive Garden Plans New Restaurant in Kyle,"19865 IH 35 Kyle, TX 78640",https://whatnow.com/austin/restaurants/olive-garden-plans-new-restaurant-in-kyle/
"September 16, 2026",Joia Burger Preparing to Feed Logan Circle Well into the Night,,https://whatnow.com/washington-dc/restaurants/joia-burger-preparing-to-feed-logan-circle-well-into-the-night/
"September 16, 2026",Just Salad Continues Massachusetts Expansion With Upcoming Swampscott Location,"450 Paradise Rd, Suite 3, Swampscott, MA 01907",https://whatnow.com/boston/restaurants/just-salad-continues-massachusetts-expansion-with-upcoming-swampscott-location/
"September 16, 2026",Black Bear Diner to Open a North Las Vegas Location,"4388 W Craig Rd, North Las Vegas, NV 89032",https://whatnow.com/las-vegas/restaurants/black-bear-diner-to-open-a-north-las-vegas-location/
"September 16, 2026",Mezeh Bringing Taste of the Mediterranean to Herndon,"2405 Centreville Rd, Herndon, VA 20171",https://whatnow.com/washington-dc/restaurants/mezeh-bringing-taste-of-the-mediterranean-to-herndon/
"September 16, 2026",Burning Rice Plans Corinth Location,"3211 FM 2181 #100 Corinth, TX 76210",https://whatnow.com/dallas/restaurants/burning-rice-plans-corinth-location/
"September 16, 2026",The Baldwin to Serve New American Cuisine in Shelby Township This Fall,"55208 Van Dyke Ave, Shelby Township, MI 48316",https://whatnow.com/detroit/restaurants/the-baldwin-to-serve-new-american-cuisine-in-shelby-township-this-fall/
"September 16, 2026",KBBQ Lounge Preparing to Debut in Echo Park,"280 S Rampart Blvd, Los Angeles, CA 90057",https://whatnow.com/los-angeles/restaurants/kbbq-lounge-preparing-to-debut-in-echo-park/
"September 16, 2026",CuppaPug Bringing Pug Cafe Experience to Jacksonville,"14180 Beach Blvd, Jacksonville, FL 32250",https://whatnow.com/jacksonville/restaurants/cuppapug-bringing-pug-cafe-experience-to-jacksonville/
"September 16, 2026","Tievoli Pizza Bar Seeking Expansion, Bringing Thin-Crust to Bloomingdale","119 W Lake St, Bloomingdale, IL 60108",https://whatnow.com/chicago/restaurants/tievoli-pizza-bar-seeking-expansion-bringing-thin-crust-to-bloomingdale/
"September 16, 2026",The Stand Getting Closer to Temecula Opening,"26440 Ynez Rd, Temecula, CA 92591",https://whatnow.com/san-diego/restaurants/the-stand-getting-closer-to-temecula-opening/
"September 16, 2026",The Fifth String Still Coming Soon to Denver’s Eudora Street,"1490 Eudora St, Denver, CO 80220",https://whatnow.com/denver/restaurants/the-fifth-string-still-coming-soon-to-denvers-eudora-street/
"September 16, 2026",Cartel Roasting Co. Taking Over Ownership of Encinitas’ Moto Deli,"190 N Coast Hwy 101, Encinitas, CA 92024",https://whatnow.com/san-diego/restaurants/cartel-roasting-co-pursuing-encinitas-location/
"September 16, 2026",Besa Bakery and Tea Room Speakeasy Coming to Downtown Jacksonville,"301 E Bay St, Jacksonville, FL 32202",https://whatnow.com/jacksonville/restaurants/besa-bakery-and-tea-room-speakeasy-coming-to-downtown-jacksonville/
"September 16, 2026",This Lebanese-Inspired Restaurant Just Opened Its 50th Location in Brooklyn,"311 7th Ave, Brooklyn, NY 11215",https://whatnow.com/new-york/restaurants/this-lebanese-inspired-restaurant-just-opened-its-50th-location-in-brooklyn/
"September 16, 2026",Team Behind Equilibre Healthy Food Launching New Juice Concept,"616 Virginia Dr, Orlando, FL 32803",https://whatnow.com/orlando/restaurants/team-behind-equilibre-healthy-food-launching-new-juice-concept/
"September 16, 2026",Monteverde Owners Introducing 'Trattoria Lo So' Concept in Bucktown,"2048 W Armitage Ave, Chicago, IL 60647",https://whatnow.com/chicago/restaurants/monteverde-owners-introducing-trattoria-lo-so-concept-in-bucktown/
"September 16, 2026",Rush Bowls Coming Soon to South Denver,"681 E Louisiana Ave, Denver, CO 80210",https://whatnow.com/denver/restaurants/rush-bowls-coming-soon-to-south-denver/
"September 16, 2026",Uka Omakase to Open Second Manhattan Location in West Chelsea,"277 W 22nd St., New York, NY 10011",https://whatnow.com/new-york/restaurants/uka-omakase-to-open-second-manhattan-location-in-west-chelsea/
"September 16, 2026",Homegrown Tap & Dough Coming to Colorado Springs This Fall,5710 S. Carefree Circle,https://whatnow.com/denver/restaurants/homegrown-tap-dough-coming-to-colorado-springs-this-fall/
"September 16, 2026",A Longtime Italian Pizzeria Has Closed After 35 Years,"29 N Station Plaza, Great Neck, NY 11021",https://whatnow.com/new-york/restaurants/a-longtime-italian-pizzeria-has-closed-after-35-years/
"September 16, 2026",Vibrant Oakland Bar Announces October Closure After Nearly a Decade Run,"722 Clay St, Oakland, CA 94607",https://whatnow.com/san-francisco/restaurants/vibrant-oakland-bar-announces-october-closure-after-nearly-a-decade-run/
"September 16, 2026","Indigo Road Closes Two Bit Club, Hartness Development Planning New Concept to Replace It","93 Society St, Charleston, SC 29401",https://whatnow.com/charleston/restaurants/indigo-road-closes-two-bit-club-hartness-development-planning-new-concept-to-replace-it/
"September 16, 2026",Mary Margaret’s Olde Irish Tavern Expanding Next Door,,https://whatnow.com/tampa/restaurants/mary-margarets-olde-irish-tavern-expanding-next-door/
"September 16, 2026",One Atlanta Restaurant Made The New York Times’ 2026 List of 50 Restaurants,"1017 N Highland Ave NE, Atlanta, GA 30306",https://whatnow.com/atlanta/restaurants/one-atlanta-restaurant-made-the-new-york-times-2026-list-of-50-restaurants/
"September 16, 2026",Zio Al’s Pizza and Pasta to Open in The Heights This Fall,"250 W 19th St, Houston, TX 77008",https://whatnow.com/houston/restaurants/zio-als-pizza-and-pasta-to-open-in-the-heights-this-fall/
"September 16, 2026",Bluebonnet & Thyme Brings a Cajun-Texas Culinary Experience to Victory Park | What Now Dallas,"2610 N Houston St, Dallas, TX 75219",https://whatnow.com/dallas/restaurants/bluebonnet-thyme-brings-a-cajun-texas-culinary-experience-to-victory-park/
"September 16, 2026",A New Restaurant Has Opened Inside New York’s Public Theater,"425 Lafayette St, New York, NY 10003",https://whatnow.com/new-york/restaurants/a-new-restaurant-has-opened-inside-new-yorks-public-theater/
"September 16, 2026",Gabby’s Brings Its Family-Owned Neighbourhood Focus to Toronto’s Waterfront | What Now Toronto,"15 Queens Quay E, Toronto, ON M5E 0C5, Canada",https://whatnow.com/toronto/restaurants/gabbys-brings-its-family-owned-neighbourhood-focus-to-torontos-waterfront/
"September 15, 2026",Texas Roadhouse Plans New Location in Waxahachie,"I35 & US Highway 287 Waxahachie, TX 75165",https://whatnow.com/dallas/restaurants/texas-roadhouse-plans-new-location-in-waxahachie/
"September 15, 2026",Nuez de Azahar Plans To Debut in East Austin,"902 E 5th St., Austin, TX 78702, USA",https://whatnow.com/austin/restaurants/nuez-de-azahar-plans-to-debut-in-east-austin/
"September 15, 2026",Qargo Coffee Franchisee Building New Cafe in Downers Grove,"529 Ogden Ave, Downers Grove, IL 60515",https://whatnow.com/chicago/restaurants/qargo-coffee-franchisee-building-new-cafe-in-downers-grove/
"September 15, 2026",Papa Juan’s Baja Grill & Bar Open in Northridge,"19230 Nordhoff St, Northridge, CA 91324",https://whatnow.com/los-angeles/restaurants/papa-juans-baja-grill-bar-coming-to-northridge/
"September 15, 2026",Heart 2 Heart Cafe To Open In January 2027,"23011 Moulton Pkwy, Laguna Hills, CA 92653",https://whatnow.com/orange-county/restaurants/heart-2-heart-cafe-to-open-in-january-2027/
"September 15, 2026",Edd’s & Flo’s Artisan Bakery Cafe Sets Sights on Fishtown,,https://whatnow.com/philadelphia/restaurants/edds-flos-artisan-bakery-cafe-sets-sights-on-fishtown/
"September 15, 2026","Oakwell Beer Spa, a Colorado-based Social Wellness Brand, to Debut in Las Vegas",,https://whatnow.com/las-vegas/restaurants/oakwell-beer-spa-a-colorado-based-social-wellness-brand-to-debut-in-las-vegas/
"September 15, 2026",Original Tommy’s Coming to Woodland Hills,"20032 Ventura Blvd, Woodland Hills, CA 91364",https://whatnow.com/los-angeles/restaurants/original-tommys-coming-to-woodland-hills/
"September 15, 2026",Preslee’s Southern Good Eatery Announces its Headed to Katy,"6001 Hwy Blvd, Katy, TX 77494",https://whatnow.com/houston/restaurants/preslees-southern-good-eatery-announces-its-headed-to-katy/
"September 15, 2026",QDOBA Signs 17 Unit Development Agreement Across San Diego County,,https://whatnow.com/san-diego/restaurants/qdoba-signs-17-unit-development-agreement-across-san-diego-county/
"September 15, 2026",Emmett’s Team to Open Intimate Fireside Experience in Northern Liberties,"161 W Girard Ave., 2nd Floor, Philadelphia, PA 19123",https://whatnow.com/philadelphia/restaurants/emmetts-team-to-open-intimate-fireside-experience-in-northern-liberties/
"September 15, 2026",Popular Coffeehouse Chain Opens Its 19th Georgia Location in Stone Mountain,"5181 Stone Mountain Hwy, Stone Mountain, GA 30087",https://whatnow.com/atlanta/restaurants/popular-coffeehouse-chain-opens-its-19th-georgia-location-in-stone-mountain/
"September 15, 2026",Southern Comfort Food Chain to Close Two Locations This Week,,https://whatnow.com/nashville/restaurants/southern-comfort-food-chain-to-close-two-locations-this-week/
"September 15, 2026",A West Hollywood Sushi Landmark Is Ending Its 28-Year Run,"8650 Sunset Blvd, West Hollywood, CA 90069",https://whatnow.com/los-angeles/restaurants/a-west-hollywood-sushi-landmark-is-ending-its-28-year-run/
"September 15, 2026",Mexican Spot With ‘Louisiana Soul’ Coming to Lafayette Parish,"2600 E Milton Ave, Youngsville, LA 70592",https://whatnow.com/new-orleans/restaurants/mexican-spot-with-louisiana-soul-coming-to-lafayette-parish/
"September 15, 2026",Thai’d Up Bringing Its Modern Southeast Asian Food to Freret Street,"4520 Freret St, New Orleans, LA 70115",https://whatnow.com/new-orleans/restaurants/thaid-up-bringing-its-modern-southeast-asian-food-to-freret-street/
"September 15, 2026",San Francisco Dim Sum Restaurant to Close Its Rincon Center Location After 27 Years,"101 Spear St, San Francisco, CA 94105",https://whatnow.com/san-francisco/restaurants/san-francisco-dim-sum-restaurant-to-close-its-rincon-center-location-after-27-years/
"September 15, 2026",Captain D’s Brings Its Next Generation Restaurant Design to San Antonio | What Now San Antonio,"7531 Bandera Rd, San Antonio, TX 78238",https://whatnow.com/san-antonio/restaurants/captain-ds-brings-its-next-generation-restaurant-design-to-san-antonio/
"September 15, 2026","ÓOL, New York’s First Cacao Cafe, Opens in SoHo | What Now New York","178 Spring St, New York, NY 10012",https://whatnow.com/new-york/restaurants/ool-new-yorks-first-cacao-cafe-opens-in-soho/
