heading,date,link,Date_Appended
WATERFORD/NEW LONDON SCOOP: Sakura Japan reopens in New London!,2026-09-24,https://www.theconnecticutscoop.com/all-new-london-county-posts/waterfordnew-london-scoop-sakura-japan-reopens-in-new-london,2026-09-25
WATERBURY SCOOP: Ross Dress for Less coming soon!,2026-09-24,https://www.theconnecticutscoop.com/all-new-haven-county-posts/waterbury-scoop-ross-dress-for-less-coming-soon,2026-09-25
ORANGE SCOOP: First look at plans for new Big Y Supermarket,2026-09-24,https://www.theconnecticutscoop.com/all-new-haven-county-posts/orange-scoop-first-look-at-plans-for-new-big-y-supermarket,2026-09-25
SOUTH WINDSOR SCOOP: Sally's Apizza & Benson's Bagels updates,2026-09-24,https://www.theconnecticutscoop.com/all-hartford-county-posts/south-windsor-scoop-sallys-apizza-bensons-bagels-updates,2026-09-25
HARTFORD SCOOP: Five Below planned for Charter Oak Marketplace; Dollar Tree closing,2026-09-24,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-five-below-planned-for-charter-oak-marketplace-dollar-tree-closing,2026-09-25
WEST HARTFORD SCOOP: Fresh Monkee coming soon to WeHa!,2026-09-23,https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-fresh-monkee-coming-soon-to-weha,2026-09-24
"MOHEGAN SUN SCOOP: Mohegan Sun celebrating 30th birthday with star-studded performances, throwback food, and themed bar!",2026-09-23,https://www.theconnecticutscoop.com/all-new-london-county-posts/mohegan-sun-scoop-mohegan-sun-celebrating-30th-birthday-with-star-studded-performances-throwback-food-and-themed-bar,2026-09-24
BRIDGEPORT SCOOP: Wayback Burgers & Molte Pizze open first co-branded CT location in Bridgeport,2026-09-23,https://www.theconnecticutscoop.com/all-fairfield-county-posts/bridgeport-scoop-wayback-burgers-molte-pizze-open-first-co-branded-ct-location-in-bridgeport,2026-09-24
BERLIN SCOOP: Golf simulators and local coffee chain are coming to Berlin!,2026-09-23,https://www.theconnecticutscoop.com/all-hartford-county-posts/berlin-scoop-golf-simulators-and-local-coffee-chain-are-coming-to-berlin,2026-09-24
ORANGE SCOOP: Wingstop coming soon to Orange!,2026-09-22,https://www.theconnecticutscoop.com/all-new-haven-county-posts/orange-scoop-wingstop-coming-soon-to-orange,2026-09-23
"HARTFORD SCOOP: Hartford Flavor Cocktail Parlour closes, hoping to reopen under new ownership",2026-09-21,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-hartford-flavor-cocktail-parlour-closes-hoping-to-reopen-under-new-ownership,2026-09-22
SOUTHBURY SCOOP: Little Fox Bookshop opening this weekend in Southbury!,2026-09-21,https://www.theconnecticutscoop.com/all-new-haven-county-posts/southbury-scoop-little-fox-bookshop-opening-this-weekend-in-southbury,2026-09-22
SOUTH WINDSOR SCOOP: Lena's Restaurant to close in South Windsor,2026-09-20,https://www.theconnecticutscoop.com/all-hartford-county-posts/south-windsor-scoop-lenas-restaurant-to-close-in-south-windsor,2026-09-21
BRISTOL SCOOP: Phantom Fall Fest opens at Lake Compounce!,2026-09-20,https://www.theconnecticutscoop.com/all-hartford-county-posts/bristol-scoop-phantom-fall-fest-opens-at-lake-compounce,2026-09-21
MANCHESTER SCOOP: ShopRite to add new coffee shop to Manchester store!,2026-09-20,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-shoprite-to-add-new-coffee-shop-to-manchester-store,2026-09-21
WATERFORD SCOOP: Exciting changes happening at Waterford Commons!,2026-09-19,https://www.theconnecticutscoop.com/all-new-london-county-posts/waterford-scoop-exciting-changes-happening-at-waterford-commons,2026-09-20
WATERBURY SCOOP: Raising Cane's construction update!,2026-09-19,https://www.theconnecticutscoop.com/all-new-haven-county-posts/waterbury-scoop-raising-canes-construction-update,2026-09-20
STONINGTON SCOOP: New look at proposed Liberty Crossing retail development,2026-09-18,https://www.theconnecticutscoop.com/all-new-london-county-posts/stonington-scoop-new-look-at-proposed-liberty-crossing-retail-development,2026-09-20
"SOUTH WINDSOR: New name for South Windsor retail development, first slate of tenants released!",2026-09-17,https://www.theconnecticutscoop.com/all-hartford-county-posts/south-windsor-new-name-for-south-windsor-retail-development-first-slate-of-tenants-released,2026-09-18
SOUTHINGTON SCOOP: CAVA & Panda Express eye new locations in Southington!,2026-09-17,https://www.theconnecticutscoop.com/all-hartford-county-posts/southington-scoop-cava-panda-express-eye-new-locations-in-southington,2026-09-18
ENFIELD SCOOP: Paris Baguette coming soon to Brookside Plaza!,2026-09-16,https://www.theconnecticutscoop.com/all-hartford-county-posts/enfield-scoop-paris-baguette-coming-soon-to-brookside-plaza,2026-09-17
DANBURY SCOOP: Vans Craft Kitchen closes in Danbury,2026-09-16,https://www.theconnecticutscoop.com/all-fairfield-county-posts/danbury-scoop-vans-craft-kitchen-closes-in-danbury,2026-09-17
"PLAINVILLE SCOOP: Chipotle under construction, Speeders Car Wash coming soon!",2026-09-15,https://www.theconnecticutscoop.com/all-hartford-county-posts/plainville-scoop-chipotle-under-construction-speeders-car-wash-coming-soon,2026-09-15
WATERFORD SCOOP: Boot Barn opens in Waterford!,2026-09-15,https://www.theconnecticutscoop.com/all-new-london-county-posts/waterford-scoop-boot-barn-opens-in-waterford,2026-09-15
EAST WINDSOR SCOOP: Aldi sets opening date for East Windsor store!,2026-09-15,https://www.theconnecticutscoop.com/all-hartford-county-posts/east-windsor-scoop-aldi-sets-opening-date-for-east-windsor-store,2026-09-15
"MIDDLETOWN SCOOP: Sweet Harmony Cafe & Bakery closing, Flour & Fern Bakery & Cafe coming soon just down the street!",2026-09-14,https://www.theconnecticutscoop.com/all-middlesex-county-posts/middletown-scoop-sweet-harmony-cafe-bakery-closing-flour-fern-bakery-cafe-coming-soon-just-down-the-street,2026-09-15
FOXWOODS SCOOP: David Burke Prime Steakhouse to reopen this fall!,2026-09-14,https://www.theconnecticutscoop.com/all-new-london-county-posts/foxwoods-scoop-david-burke-prime-steakhouse-to-reopen-this-fall,2026-09-15
CLINTON & STRATFORD SCOOP: GASFCO opens new locations in Clinton & Stratford,2026-09-14,https://www.theconnecticutscoop.com/all-middlesex-county-posts/clinton-stratford-scoop-gasfco-opens-new-locations-in-clinton-stratford,2026-09-15
"BOLTON SCOOP: Square Peg Pizzeria opens in Bolton, replacing ParkSide Pizza & Ice Cream!",2026-09-13,https://www.theconnecticutscoop.com/all-tolland-county-posts/bolton-scoop-square-peg-pizzeria-opens-in-bolton-replacing-parkside-pizza-ice-cream,2026-09-15
MANCHESTER SCOOP: New library opens tomorrow!,2026-09-13,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-new-library-opens-tomorrow,2026-09-15
NEW HAVEN SCOOP: Mila Cafe coming soon to New Haven,2026-09-13,https://www.theconnecticutscoop.com/all-new-haven-county-posts/new-haven-scoop-mila-cafe-coming-soon-to-new-haven,2026-09-15
