date,title,address,url,Date_Appended
2026-09-16,This Lebanese-Inspired Restaurant Just Opened Its 50th Location in Brooklyn,"311 7th Ave, Brooklyn, NY 11215",https://whatnow.com/new-york/restaurants/this-lebanese-inspired-restaurant-just-opened-its-50th-location-in-brooklyn/,2026-09-17
2026-09-16,Burning Rice Plans Corinth Location,"3211 FM 2181 #100 Corinth, TX 76210",https://whatnow.com/dallas/restaurants/burning-rice-plans-corinth-location/,2026-09-17
2026-09-16,The Fifth String Still Coming Soon to Denver’s Eudora Street,"1490 Eudora St, Denver, CO 80220",https://whatnow.com/denver/restaurants/the-fifth-string-still-coming-soon-to-denvers-eudora-street/,2026-09-17
2026-09-16,The Stand Getting Closer to Temecula Opening,"26440 Ynez Rd, Temecula, CA 92591",https://whatnow.com/san-diego/restaurants/the-stand-getting-closer-to-temecula-opening/,2026-09-17
2026-09-16,"Tievoli Pizza Bar Seeking Expansion, Bringing Thin-Crust to Bloomingdale","119 W Lake St, Bloomingdale, IL 60108",https://whatnow.com/chicago/restaurants/tievoli-pizza-bar-seeking-expansion-bringing-thin-crust-to-bloomingdale/,2026-09-17
2026-09-16,CuppaPug Bringing Pug Cafe Experience to Jacksonville,"14180 Beach Blvd, Jacksonville, FL 32250",https://whatnow.com/jacksonville/restaurants/cuppapug-bringing-pug-cafe-experience-to-jacksonville/,2026-09-17
2026-09-16,KBBQ Lounge Preparing to Debut in Echo Park,"280 S Rampart Blvd, Los Angeles, CA 90057",https://whatnow.com/los-angeles/restaurants/kbbq-lounge-preparing-to-debut-in-echo-park/,2026-09-17
2026-09-16,The Baldwin to Serve New American Cuisine in Shelby Township This Fall,"55208 Van Dyke Ave, Shelby Township, MI 48316",https://whatnow.com/detroit/restaurants/the-baldwin-to-serve-new-american-cuisine-in-shelby-township-this-fall/,2026-09-17
2026-09-16,Mezeh Bringing Taste of the Mediterranean to Herndon,"2405 Centreville Rd, Herndon, VA 20171",https://whatnow.com/washington-dc/restaurants/mezeh-bringing-taste-of-the-mediterranean-to-herndon/,2026-09-17
2026-09-16,Besa Bakery and Tea Room Speakeasy Coming to Downtown Jacksonville,"301 E Bay St, Jacksonville, FL 32202",https://whatnow.com/jacksonville/restaurants/besa-bakery-and-tea-room-speakeasy-coming-to-downtown-jacksonville/,2026-09-17
2026-09-16,Black Bear Diner to Open a North Las Vegas Location,"4388 W Craig Rd, North Las Vegas, NV 89032",https://whatnow.com/las-vegas/restaurants/black-bear-diner-to-open-a-north-las-vegas-location/,2026-09-17
2026-09-16,Just Salad Continues Massachusetts Expansion With Upcoming Swampscott Location,"450 Paradise Rd, Suite 3, Swampscott, MA 01907",https://whatnow.com/boston/restaurants/just-salad-continues-massachusetts-expansion-with-upcoming-swampscott-location/,2026-09-17
2026-09-16,Joia Burger Preparing to Feed Logan Circle Well into the Night,,https://whatnow.com/washington-dc/restaurants/joia-burger-preparing-to-feed-logan-circle-well-into-the-night/,2026-09-17
2026-09-16,Olive Garden Plans New Restaurant in Kyle,"19865 IH 35 Kyle, TX 78640",https://whatnow.com/austin/restaurants/olive-garden-plans-new-restaurant-in-kyle/,2026-09-17
2026-09-16,Broncos Mexican Grill Working on Second Location,"277 S Mountain Ave, Upland, CA 91786",https://whatnow.com/los-angeles/restaurants/broncos-mexican-grill-working-on-second-location/,2026-09-17
2026-09-16,Acai Brasil to Open Within the Riverstone Shopping Center,"18721 University Blvd, Sugar Land, TX 77479",https://whatnow.com/houston/restaurants/acai-brasil-to-open-within-the-riverstone-shopping-center/,2026-09-17
2026-09-16,Cartel Roasting Co. Taking Over Ownership of Encinitas’ Moto Deli,"190 N Coast Hwy 101, Encinitas, CA 92024",https://whatnow.com/san-diego/restaurants/cartel-roasting-co-pursuing-encinitas-location/,2026-09-17
2026-09-16,Rally's is Coming to North Las Vegas,"4360 W Craig Rd, North Las Vegas, NV 89032",https://whatnow.com/las-vegas/restaurants/rallys-is-coming-to-north-las-vegas/,2026-09-17
2026-09-16,Mary Margaret’s Olde Irish Tavern Expanding Next Door,,https://whatnow.com/tampa/restaurants/mary-margarets-olde-irish-tavern-expanding-next-door/,2026-09-17
2026-09-16,Monteverde Owners Introducing 'Trattoria Lo So' Concept in Bucktown,"2048 W Armitage Ave, Chicago, IL 60647",https://whatnow.com/chicago/restaurants/monteverde-owners-introducing-trattoria-lo-so-concept-in-bucktown/,2026-09-17
2026-09-16,Rush Bowls Coming Soon to South Denver,"681 E Louisiana Ave, Denver, CO 80210",https://whatnow.com/denver/restaurants/rush-bowls-coming-soon-to-south-denver/,2026-09-17
2026-09-16,Uka Omakase to Open Second Manhattan Location in West Chelsea,"277 W 22nd St., New York, NY 10011",https://whatnow.com/new-york/restaurants/uka-omakase-to-open-second-manhattan-location-in-west-chelsea/,2026-09-17
2026-09-16,Homegrown Tap & Dough Coming to Colorado Springs This Fall,5710 S. Carefree Circle,https://whatnow.com/denver/restaurants/homegrown-tap-dough-coming-to-colorado-springs-this-fall/,2026-09-17
2026-09-16,A Longtime Italian Pizzeria Has Closed After 35 Years,"29 N Station Plaza, Great Neck, NY 11021",https://whatnow.com/new-york/restaurants/a-longtime-italian-pizzeria-has-closed-after-35-years/,2026-09-17
2026-09-16,Vibrant Oakland Bar Announces October Closure After Nearly a Decade Run,"722 Clay St, Oakland, CA 94607",https://whatnow.com/san-francisco/restaurants/vibrant-oakland-bar-announces-october-closure-after-nearly-a-decade-run/,2026-09-17
